UniProtID,scale
A0A1B0GUX0,91.40729214085142
A0A1B0GUY1,59.95883435090182
A0A1B0GV03,29.87706815345833
A0A1B0GV22,150.36663054263585
A0A1B0GV85,55.20637571985088
A0A1B0GV90,143.49549232972691
A0A1B0GVD1,142.62642980809457
A0A1B0GVG4,59.05441437153064
A0A1B0GVG6,105.5320989710948
A0A1B0GVH4,196.98937145754311
A0A1B0GVH6,86.18388833936827
A0A1B0GVH7,73.54943986352664
A0A1B0GVK7,159.52581327477307
A0A1B0GVM5,161.5176026922776
A0A1B0GVM6,100.59424234794017
A0A1B0GVN3,100.87764558310003
A0A1B0GVQ0,90.99902678858972
A0A1B0GVQ3,86.84843135799032
A0A1B0GVR7,116.10535381815237
A0A1B0GVS7,98.56211602934702
A0A1B0GVT2,110.29157780360568
A0A1B0GVV1,130.8942490514385
A0A1B0GVX0,208.516515366446
A0A1B0GVY4,120.98372732126695
A0A1B0GVZ2,116.96508159592878
A0A1B0GVZ6,92.04340272977517
A0A1B0GVZ9,109.85276963123556
A0A1B0GW35,137.790311093581
A0A1B0GW54,151.91369552048613
A0A1B0GW64,73.52404285357918
A0A1B0GWB2,74.12229329889124
A0A1B0GWG4,90.3666117936344
A0A1B0GWH4,74.79961321016083
A0A1B0GWK0,169.49074909259562
A0A1B0GX31,139.64688661581243
A0A1B0GX49,180.65899597342664
A0A1B0GX51,158.36218182887808
A0A1B0GX56,143.62307708172125
A0A1B0GX68,158.0028122012439
A0A1B0GX78,140.45778862958898
A0A1B0GX95,167.8724225936877
A0A1B0GXF2,165.34427391215075
A0A1W2PP97,104.51423224125227
A0A1W2PPF3,87.95357161448419
A0A1W2PPG7,129.2928520971921
A0A1W2PPK0,85.05564925936501
A0A1W2PPM1,66.89747990561904
A0A1W2PQ73,75.13459701277255
A0A1W2PQL4,87.74923044800089
A0A1W2PR19,196.03500259943712
A0A1W2PR48,86.1307630067008
A0A1W2PR82,103.0685512778457
A0A1W2PRP0,99.48876126009556
A0A1W2PS18,128.9003246386417
A0A2R8Y4L2,88.9825238978721
A0A2R8Y4Y8,108.29025281859975
A0A2R8Y7D0,160.2826969161244
A0A2R8Y619,106.0044239272573
A0A2R8YCJ5,84.41637263139307
A0A2R8YFL7,103.22269592732634
A0A2R8YFM6,125.11926336904509
A0A2Z4LIS9,101.51522716957692
A0A3B3IT33,65.72702001544721
A0A075B6I1,118.87347462104744
A0A075B6S2,126.32119450355492
A0A087WW87,117.17314646782302
A0AUZ9,63.23603870565542
A0AVK6,60.409418303245765
A0FGR8,65.21451134049546
A0FGR9,69.47005444798283
A0M8Q6,223.52398476013923
A0PJE2,185.5587480779729
A0PJX0,152.6598784799745
