UniProtID,pdb_file,multi_structure,parts,cartoons_ss_coloring,electrostatic_surface
A2VCK2,,,,78.05742585342556,82.380188196725
A2VDF0,,,,191.65546885602865,236.78230354425096
A2VDJ0,,,,49.3568034582234,52.20856777372477
A4D0S4,,,,49.0910799076404,50.83355943177555
A4D0V7,,,,76.03610833379462,84.79567805461937
A4D1B5,,,,65.56875331777574,70.81163850889509
A4D1E9,,,,85.03298484977097,91.59155950617202
A4D1S0,,,,61.90409335885626,64.18937117906819
A4D2P6,,,,57.23466860393096,62.02846651049646
A4D161,,,,89.81593123698582,98.595377876354
A4GXA9,,,,92.83234436142872,102.58520594411829
A5D8V7,,,,44.94745588607889,47.47456797126069
A5YKK6,,,,54.11079122622138,58.60291436085668
A5YM69,,,,40.27436080287899,41.9728292221349
A5YM72,,,,97.6706559168474,107.04671201969845
A6H8Z2,,,,69.2937373783692,77.0398999341488
A6NC98,,,,25.26826980056764,26.01542526448659
A6NCF5,,,,103.4253870143904,116.35933030322768
A6ND36,,,,58.590618717731694,64.29675450546019
A6ND91,,,,142.3420274122808,154.76838355456596
A6NDN3,,,,32.45623564968668,33.703648768333
A6NDU8,,,,143.92980222632858,162.00622279817162
A6NE01,,,,31.753670768447687,32.628272000887755
A6NEK1,,,,91.29969521039618,96.89436799083047
A6NEM1,,,,50.11493641304012,52.76144368485842
A6NFD8,,,,75.61993872957235,78.31951780020978
A6NFT4,,,,38.19492138438185,39.261190253323626
A6NGG8,,,,54.71400710640912,58.331768680346606
A6NGN9,,,,49.68919313601936,51.854511827387945
A6NH11,,,,94.00554984884424,103.33939419424244
A6NHC0,,,,99.82179832418755,110.05625915749394
A6NHG4,,,,191.8806786409998,233.5188095643921
A6NHQ4,,,,71.97580398098593,76.57015650950676
A6NHT5,,,,69.978236893313,75.93519970713507
A6NHX0,,,,158.08910324606728,180.307763046501
A6NI28,,,,63.84050701457353,69.93515301364354
A6NI79,,,,57.21126422115847,60.07283273113339
A6NI86,,,,32.612426709491146,33.59471737013637
A6NIR3,,,,69.79553518636732,75.44549586102815
A6NIV6,,,,81.67629968417752,90.48672666446596
A6NJ69,,,,201.41153254357712,235.1664588090162
A6NK44,,,,108.88644428548692,114.65442209351023
A6NK59,,,,91.71593459992368,100.45930954388076
A6NKD9,,,,55.26121778968975,57.279656104135306
A6NKF2,,,,62.62412014168361,67.14535941483851
A6NKQ9,,,,98.91548249760513,107.67121429463222
A6NLC5,,,,89.86964079432589,99.7262897868922
A6NMK7,,,,95.68331458883463,106.78329624308527
A6NNL5,,,,169.75908610305933,228.3747016444356
A6NNT2,,,,45.75014895076056,47.81148486493349
A6PVS8,,,,32.15125350316188,33.032176571083355
A6QL63,,,,58.19077454075103,61.76027272481395
A6QL64,,,,38.69466656838534,40.17315458631461
A7E2F4,,,,55.90266956186235,58.03461922426608
A7KAX9,,,,51.291271890361806,55.132793058638
A8K2U0,,,,62.83710341453799,66.17142679465894
A8K4G0,,,,80.46376466954311,84.23981344015412
A8K7I4,,,,77.86106673408209,82.79015998424929
A8K855,,,,64.51995001453167,67.42405268048422
A8K979,,,,64.4494667918199,68.90049455169246
A8MQ03,,,,99.33688664847062,106.58110396074036
A8MQT2,,,,56.63805692397999,58.93062029880187
A8MT69,,,,175.3204563881593,210.21361426867355
A8MTJ3,,,,90.86478967508197,97.25564809696289
A8MTZ0,,,,108.92441098096737,121.89188582809167
A8MVW0,,,,53.77429861253445,56.299943842044414
A8MVW5,,,,51.55021396697966,54.439462523745554
A8MVX0,,,,55.1821059485231,57.60152352619733
A8MWY0,,,,55.58819050056956,58.58106069309292
A8MXD5,,,,98.96181743026746,112.7851775172434
A8MXV6,,,,73.32356026615169,80.59217759826534
A8MXZ3,,,,88.96726695574493,95.85846022002586
A8MYZ6,,,,60.09414903164022,65.24420730359662
A8MZ97,,,,92.38130793195567,100.9261503592231
A9QM74,,,,79.64126432451481,87.10368346416688
A9YTQ3,,,,63.60430706604814,69.14169576835882
B0YJ81,,,,73.38079730922618,78.83721714424509
B1AK53,,,,66.19516096098194,69.55352897582951
B2RD01,,,,97.66946079011387,105.1816524865438
B2RNN3,,,,58.441204000016704,61.22747721277382
B2RV13,,,,57.93582050496564,62.61378814429719
B2RXH4,,,,58.21688987557779,62.42959846627941
B2RXH8,,,,76.95671941625613,82.05341237667646
B3EWF7,,,,70.03003760310399,73.39633836335886
B5ME19,,,,50.60996727583799,53.65867490296482
B7ZAQ6,,,,86.70047299782051,95.72757912119756
B7ZW38,,,,79.32845927206601,83.56268852622682
B9A064,,,,67.01608191351994,69.88838566222715
C9J442,,,,68.86202873948238,75.25833289226333
C9JCN9,,,,110.73332221865492,118.91827104811912
C9JR72,,,,110.72574267431804,122.71440013642165
C9JRZ8,,,,155.15542032930952,180.4091698354605
E5RJM6,,,,81.57556061234735,86.03647455823527
M0R2J8,,,,63.68037401091376,69.50890784395355
O00115,,,,120.97555231630793,138.91436283821128
O00116,,,,97.03503391974031,106.01053712668086
O00139,,,,63.6633623021033,68.116399800912
O00144,,,,81.36983818159469,88.84867702099153
O00148,,,,135.32516303864972,153.8433549434778
O00154,,,,115.06825819978144,133.32974626726593
O00155,,,,75.5865392314173,79.4806398130564
O00165,,,,78.28021710528962,87.78333480229963
O00167,,,,75.28773956782516,81.15335176328998
O00168,,,,151.49219969999243,176.13867433874384
O00170,,,,95.31192053461704,101.79627525662929
O00175,,,,116.21413859479416,128.86604059805754
O00178,,,,59.60719826005252,63.98226478646615
O00180,,,,73.2525854194538,78.05429431209173
O00182,,,,107.10534662705643,125.0959806483114
O00189,,,,105.11850190871634,114.87179940986672
